Date,Likes,Comments,Shares
"07/09/19, 19:11",83.0,0.0,19.0
"07/09/19, 15:19",435.0,9.0,45.0
"07/09/19, 14:39",153.0,2.0,0.0
"07/09/19, 14:24",103.0,2.0,2.0
"07/09/19, 14:10",90.0,1.0,16.0
"07/09/19, 02:21",6.0,0.0,0.0
"07/09/19, 02:18",8.0,0.0,0.0
"06/09/19, 18:51",54.0,0.0,13.0
"05/09/19, 22:24",175.0,0.0,13.0
"05/09/19, 12:43",185.0,2.0,4.0
"05/09/19, 12:36",100.0,1.0,1.0
"04/09/19, 23:28",140.0,1.0,96.0
"29/08/19, 19:58",86.0,1.0,96.0
"29/08/19, 17:46",51.0,0.0,5.0
"28/08/19, 14:23",90.0,4.0,95.0
